source,var_name,var_label,value,value_label
survey_res_main,whybev9,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Insurance discount",1,Selected
survey_res_main,whybev10,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Politics of fossil fuels",0,Not Selected
survey_res_main,whybev10,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Politics of fossil fuels",1,Selected
survey_res_main,whybev11,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Convenience of charging at home or work",0,Not Selected
survey_res_main,whybev11,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Convenience of charging at home or work",1,Selected
survey_res_main,whybev12,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Free charging at work or away from home",0,Not Selected
survey_res_main,whybev12,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Free charging at work or away from home",1,Selected
survey_res_main,whybev13,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Special/low EV electricity rate at home",0,Not Selected
survey_res_main,whybev13,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Special/low EV electricity rate at home",1,Selected
survey_res_main,whybev14,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Vehicle performance",0,Not Selected
survey_res_main,whybev14,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Vehicle performance",1,Selected
survey_res_main,whybev15,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Vehicle styling, finish and comfort",0,Not Selected
survey_res_main,whybev15,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Vehicle styling, finish and comfort",1,Selected
survey_res_main,whybev16,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
A desire for the newest technology",0,Not Selected
survey_res_main,whybev16,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
A desire for the newest technology",1,Selected
survey_res_main,whybev17,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Brand name",0,Not Selected
survey_res_main,whybev17,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Brand name",1,Selected
survey_res_main,whybev18,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Other",0,Not Selected
survey_res_main,whybev18,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Other",1,Selected
survey_res_main,altconcerns1,"How important was the California state vehicle rebate (up to $2,500) in making it possible for you to buy or lease your electric vehicle?",1,Extremely important
survey_res_main,altconcerns1,"How important was the California state vehicle rebate (up to $2,500) in making it possible for you to buy or lease your electric vehicle?",2,Very important
survey_res_main,altconcerns1,"How important was the California state vehicle rebate (up to $2,500) in making it possible for you to buy or lease your electric vehicle?",3,Moderately important
survey_res_main,altconcerns1,"How important was the California state vehicle rebate (up to $2,500) in making it possible for you to buy or lease your electric vehicle?",4,Slightly important
survey_res_main,altconcerns1,"How important was the California state vehicle rebate (up to $2,500) in making it possible for you to buy or lease your electric vehicle?",5,Not at all important
survey_res_main,altconcerns1,"How important was the California state vehicle rebate (up to $2,500) in making it possible for you to buy or lease your electric vehicle?",6,Not applicable
survey_res_main,altconcerns2,"How important were the federal tax incentives (up to $7,500) in making it possible for you to buy or lease your electric vehicle?",1,Extremely important
survey_res_main,altconcerns2,"How important were the federal tax incentives (up to $7,500) in making it possible for you to buy or lease your electric vehicle?",2,Very important
survey_res_main,altconcerns2,"How important were the federal tax incentives (up to $7,500) in making it possible for you to buy or lease your electric vehicle?",3,Moderately important
survey_res_main,altconcerns2,"How important were the federal tax incentives (up to $7,500) in making it possible for you to buy or lease your electric vehicle?",4,Slightly important
survey_res_main,altconcerns2,"How important were the federal tax incentives (up to $7,500) in making it possible for you to buy or lease your electric vehicle?",5,Not at all important
survey_res_main,altconcerns2,"How important were the federal tax incentives (up to $7,500) in making it possible for you to buy or lease your electric vehicle?",6,Not applicable
survey_res_main,altconcerns3,"How important were manufacturer or dealer incentives (e.g. low interest rate, cash back) in making it possible for you to buy or lease your electric vehicle?",1,Extremely important
survey_res_main,altconcerns3,"How important were manufacturer or dealer incentives (e.g. low interest rate, cash back) in making it possible for you to buy or lease your electric vehicle?",2,Very important
survey_res_main,altconcerns3,"How important were manufacturer or dealer incentives (e.g. low interest rate, cash back) in making it possible for you to buy or lease your electric vehicle?",3,Moderately important
survey_res_main,altconcerns3,"How important were manufacturer or dealer incentives (e.g. low interest rate, cash back) in making it possible for you to buy or lease your electric vehicle?",4,Slightly important
survey_res_main,altconcerns3,"How important were manufacturer or dealer incentives (e.g. low interest rate, cash back) in making it possible for you to buy or lease your electric vehicle?",5,Not at all important
survey_res_main,altconcerns3,"How important were manufacturer or dealer incentives (e.g. low interest rate, cash back) in making it possible for you to buy or lease your electric vehicle?",6,Not applicable
survey_res_main,altconcerns4,How important were attractive lease terms in making it possible for you to buy or lease your electric vehicle?,1,Extremely important
survey_res_main,altconcerns4,How important were attractive lease terms in making it possible for you to buy or lease your electric vehicle?,2,Very important
survey_res_main,altconcerns4,How important were attractive lease terms in making it possible for you to buy or lease your electric vehicle?,3,Moderately important
survey_res_main,altconcerns4,How important were attractive lease terms in making it possible for you to buy or lease your electric vehicle?,4,Slightly important
survey_res_main,altconcerns4,How important were attractive lease terms in making it possible for you to buy or lease your electric vehicle?,5,Not at all important
survey_res_main,altconcerns4,How important were attractive lease terms in making it possible for you to buy or lease your electric vehicle?,6,Not applicable
survey_res_main,altconcerns5,"How important were parking incentives (employer, business, or government) in making it possible for you to buy or lease your electric vehicle?",1,Extremely important
survey_res_main,altconcerns5,"How important were parking incentives (employer, business, or government) in making it possible for you to buy or lease your electric vehicle?",2,Very important
survey_res_main,altconcerns5,"How important were parking incentives (employer, business, or government) in making it possible for you to buy or lease your electric vehicle?",3,Moderately important
survey_res_main,altconcerns5,"How important were parking incentives (employer, business, or government) in making it possible for you to buy or lease your electric vehicle?",4,Slightly important
survey_res_main,altconcerns5,"How important were parking incentives (employer, business, or government) in making it possible for you to buy or lease your electric vehicle?",5,Not at all important
survey_res_main,altconcerns5,"How important were parking incentives (employer, business, or government) in making it possible for you to buy or lease your electric vehicle?",6,Not applicable
survey_res_main,altconcerns6,How important were special electricity rates for charging in making it possible for you to buy or lease your electric vehicle?,1,Extremely important
survey_res_main,altconcerns6,How important were special electricity rates for charging in making it possible for you to buy or lease your electric vehicle?,2,Very important
survey_res_main,altconcerns6,How important were special electricity rates for charging in making it possible for you to buy or lease your electric vehicle?,3,Moderately important
survey_res_main,altconcerns6,How important were special electricity rates for charging in making it possible for you to buy or lease your electric vehicle?,4,Slightly important
survey_res_main,altconcerns6,How important were special electricity rates for charging in making it possible for you to buy or lease your electric vehicle?,5,Not at all important
survey_res_main,altconcerns6,How important were special electricity rates for charging in making it possible for you to buy or lease your electric vehicle?,6,Not applicable
survey_res_main,altconcerns7,How important was having free charging locations available in making it possible for you to buy or lease your electric vehicle?,1,Extremely important
survey_res_main,altconcerns7,How important was having free charging locations available in making it possible for you to buy or lease your electric vehicle?,2,Very important
survey_res_main,altconcerns7,How important was having free charging locations available in making it possible for you to buy or lease your electric vehicle?,3,Moderately important
survey_res_main,altconcerns7,How important was having free charging locations available in making it possible for you to buy or lease your electric vehicle?,4,Slightly important
survey_res_main,altconcerns7,How important was having free charging locations available in making it possible for you to buy or lease your electric vehicle?,5,Not at all important
survey_res_main,altconcerns7,How important was having free charging locations available in making it possible for you to buy or lease your electric vehicle?,6,Not applicable
survey_res_main,altconcerns8,How important was the availability of carshare/car rental as part of purchase in making it possible for you to buy or lease your electric vehicle?,1,Extremely important
survey_res_main,altconcerns8,How important was the availability of carshare/car rental as part of purchase in making it possible for you to buy or lease your electric vehicle?,2,Very important
survey_res_main,altconcerns8,How important was the availability of carshare/car rental as part of purchase in making it possible for you to buy or lease your electric vehicle?,3,Moderately important
survey_res_main,altconcerns8,How important was the availability of carshare/car rental as part of purchase in making it possible for you to buy or lease your electric vehicle?,4,Slightly important
survey_res_main,altconcerns8,How important was the availability of carshare/car rental as part of purchase in making it possible for you to buy or lease your electric vehicle?,5,Not at all important
survey_res_main,altconcerns8,How important was the availability of carshare/car rental as part of purchase in making it possible for you to buy or lease your electric vehicle?,6,Not applicable
survey_res_main,altconcerns9,How important was HOV lane access in making it possible for you to buy or lease your electric vehicle?,1,Extremely important
survey_res_main,altconcerns9,How important was HOV lane access in making it possible for you to buy or lease your electric vehicle?,2,Very important
survey_res_main,altconcerns9,How important was HOV lane access in making it possible for you to buy or lease your electric vehicle?,3,Moderately important
survey_res_main,altconcerns9,How important was HOV lane access in making it possible for you to buy or lease your electric vehicle?,4,Slightly important
survey_res_main,altconcerns9,How important was HOV lane access in making it possible for you to buy or lease your electric vehicle?,5,Not at all important
survey_res_main,altconcerns9,How important was HOV lane access in making it possible for you to buy or lease your electric vehicle?,6,Not applicable
survey_res_main,homeinstall,Did you purchase home refueling equipment and/or upgrade your current house to be able to charge your vehicle?,1,Yes
survey_res_main,homeinstall,Did you purchase home refueling equipment and/or upgrade your current house to be able to charge your vehicle?,2,No
survey_res_main,pev_charger_type1,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Level 1: A standard (120V) household outlet",0,Not Selected
survey_res_main,pev_charger_type1,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Level 1: A standard (120V) household outlet",1,Selected
survey_res_main,pev_charger_type2,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Level 2: A 240V for faster charging outlet used",0,Not Selected
survey_res_main,pev_charger_type2,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Level 2: A 240V for faster charging outlet used",1,Selected
survey_res_main,pev_charger_type3,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Fast Charger: A high voltage charger found at public charging stations",0,Not Selected
survey_res_main,pev_charger_type3,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Fast Charger: A high voltage charger found at public charging stations",1,Selected
survey_res_main,pev_charger_type4,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Other",0,Not Selected
survey_res_main,pev_charger_type4,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Other",1,Selected
survey_res_main,pev_charger_type5,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Not sure",0,Not Selected
survey_res_main,pev_charger_type5,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Not sure",1,Selected
survey_res_main,pev_charger_type6,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
None of these",0,Not Selected
survey_res_main,pev_charger_type6,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
None of these",1,Selected
survey_res_main,chargefreq,How often do you typically plug in your vehicle to charge?,1,Daily
survey_res_main,chargefreq,How often do you typically plug in your vehicle to charge?,2,5 or 6 times a week
survey_res_main,chargefreq,How often do you typically plug in your vehicle to charge?,3,3 or 4 times a week
survey_res_main,chargefreq,How often do you typically plug in your vehicle to charge?,4,1 or 2 times a week
survey_res_main,chargefreq,How often do you typically plug in your vehicle to charge?,5,Less than once a week
survey_res_main,chargefreq,How often do you typically plug in your vehicle to charge?,6,Never
survey_res_main,pev07_chargemorning1,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
6:00am - 7:00am",1,Home
survey_res_main,pev07_chargemorning1,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
6:00am - 7:00am",2,Work
survey_res_main,pev07_chargemorning1,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
6:00am - 7:00am",3,Public charging station
survey_res_main,pev07_chargemorning1,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
6:00am - 7:00am",4,Other spot
survey_res_main,pev07_chargemorning1,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
6:00am - 7:00am",5,Do not charge
survey_res_main,pev07_chargemorning2,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
7:00am - 8:00am",1,Home
survey_res_main,pev07_chargemorning2,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
7:00am - 8:00am",2,Work
survey_res_main,pev07_chargemorning2,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
7:00am - 8:00am",3,Public charging station
survey_res_main,pev07_chargemorning2,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
7:00am - 8:00am",4,Other spot
survey_res_main,pev07_chargemorning2,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
7:00am - 8:00am",5,Do not charge
survey_res_main,pev07_chargemorning3,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
8:00am - 9:00am",1,Home
survey_res_main,pev07_chargemorning3,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
8:00am - 9:00am",2,Work
survey_res_main,pev07_chargemorning3,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
8:00am - 9:00am",3,Public charging station
survey_res_main,pev07_chargemorning3,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
8:00am - 9:00am",4,Other spot
survey_res_main,pev07_chargemorning3,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
8:00am - 9:00am",5,Do not charge
survey_res_main,pev07_chargemorning4,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
9:00am - 10:00am",1,Home
survey_res_main,pev07_chargemorning4,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
9:00am - 10:00am",2,Work
survey_res_main,pev07_chargemorning4,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
9:00am - 10:00am",3,Public charging station
survey_res_main,pev07_chargemorning4,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
9:00am - 10:00am",4,Other spot
survey_res_main,pev07_chargemorning4,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
9:00am - 10:00am",5,Do not charge
survey_res_main,pev07_chargemorning5,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
10:00am - 11:00am",1,Home
survey_res_main,pev07_chargemorning5,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
10:00am - 11:00am",2,Work
survey_res_main,pev07_chargemorning5,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
10:00am - 11:00am",3,Public charging station
survey_res_main,pev07_chargemorning5,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
10:00am - 11:00am",4,Other spot
survey_res_main,pev07_chargemorning5,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
10:00am - 11:00am",5,Do not charge
survey_res_main,pev07_chargemorning6,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
11:00am - 12:00pm",1,Home
survey_res_main,pev07_chargemorning6,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
11:00am - 12:00pm",2,Work
survey_res_main,pev07_chargemorning6,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
11:00am - 12:00pm",3,Public charging station
survey_res_main,pev07_chargemorning6,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
11:00am - 12:00pm",4,Other spot
survey_res_main,pev07_chargemorning6,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
11:00am - 12:00pm",5,Do not charge
survey_res_main,pev08_chargeafternoon1,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
12:00pm - 1:00pm",1,Home
survey_res_main,pev08_chargeafternoon1,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
12:00pm - 1:00pm",2,Work
survey_res_main,pev08_chargeafternoon1,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
12:00pm - 1:00pm",3,Public charging station
survey_res_main,pev08_chargeafternoon1,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
12:00pm - 1:00pm",4,Other spot
survey_res_main,pev08_chargeafternoon1,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
12:00pm - 1:00pm",5,Do not charge
survey_res_main,pev08_chargeafternoon2,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
1:00pm - 2:00pm",1,Home
survey_res_main,pev08_chargeafternoon2,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
1:00pm - 2:00pm",2,Work
survey_res_main,pev08_chargeafternoon2,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
1:00pm - 2:00pm",3,Public charging station
survey_res_main,pev08_chargeafternoon2,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
1:00pm - 2:00pm",4,Other spot
survey_res_main,pev08_chargeafternoon2,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
1:00pm - 2:00pm",5,Do not charge
survey_res_main,pev08_chargeafternoon3,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
2:00pm - 3:00pm",1,Home
survey_res_main,pev08_chargeafternoon3,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
2:00pm - 3:00pm",2,Work
survey_res_main,pev08_chargeafternoon3,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
2:00pm - 3:00pm",3,Public charging station
survey_res_main,pev08_chargeafternoon3,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
2:00pm - 3:00pm",4,Other spot
survey_res_main,pev08_chargeafternoon3,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
2:00pm - 3:00pm",5,Do not charge
survey_res_main,pev08_chargeafternoon4,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
3:00pm - 4:00pm",1,Home
survey_res_main,pev08_chargeafternoon4,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
3:00pm - 4:00pm",2,Work
survey_res_main,pev08_chargeafternoon4,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
3:00pm - 4:00pm",3,Public charging station
survey_res_main,pev08_chargeafternoon4,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
3:00pm - 4:00pm",4,Other spot
survey_res_main,pev08_chargeafternoon4,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
3:00pm - 4:00pm",5,Do not charge
survey_res_main,pev08_chargeafternoon5,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
4:00pm - 5:00pm",1,Home
survey_res_main,pev08_chargeafternoon5,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
4:00pm - 5:00pm",2,Work
survey_res_main,pev08_chargeafternoon5,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
4:00pm - 5:00pm",3,Public charging station
survey_res_main,pev08_chargeafternoon5,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
4:00pm - 5:00pm",4,Other spot
survey_res_main,pev08_chargeafternoon5,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
4:00pm - 5:00pm",5,Do not charge
survey_res_main,pev08_chargeafternoon6,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
5:00pm - 6:00pm",1,Home
survey_res_main,pev08_chargeafternoon6,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
5:00pm - 6:00pm",2,Work
survey_res_main,pev08_chargeafternoon6,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
5:00pm - 6:00pm",3,Public charging station
survey_res_main,pev08_chargeafternoon6,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
5:00pm - 6:00pm",4,Other spot
survey_res_main,pev08_chargeafternoon6,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
5:00pm - 6:00pm",5,Do not charge
survey_res_main,pev09_chargeevening1,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
6:00pm - 7:00pm",1,Home
survey_res_main,pev09_chargeevening1,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
6:00pm - 7:00pm",2,Work
survey_res_main,pev09_chargeevening1,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
6:00pm - 7:00pm",3,Public charging station
survey_res_main,pev09_chargeevening1,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
6:00pm - 7:00pm",4,Other spot
survey_res_main,pev09_chargeevening1,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
6:00pm - 7:00pm",5,Do not charge
survey_res_main,pev09_chargeevening2,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
7:00pm - 8:00pm",1,Home
survey_res_main,pev09_chargeevening2,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
7:00pm - 8:00pm",2,Work
survey_res_main,pev09_chargeevening2,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
7:00pm - 8:00pm",3,Public charging station
survey_res_main,pev09_chargeevening2,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
7:00pm - 8:00pm",4,Other spot
survey_res_main,pev09_chargeevening2,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
7:00pm - 8:00pm",5,Do not charge
survey_res_main,pev09_chargeevening3,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
8:00pm - 9:00pm",1,Home
survey_res_main,pev09_chargeevening3,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
8:00pm - 9:00pm",2,Work
survey_res_main,pev09_chargeevening3,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
8:00pm - 9:00pm",3,Public charging station
survey_res_main,pev09_chargeevening3,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
8:00pm - 9:00pm",4,Other spot
survey_res_main,pev09_chargeevening3,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
8:00pm - 9:00pm",5,Do not charge
survey_res_main,pev09_chargeevening4,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
9:00pm - 10:00pm",1,Home
survey_res_main,pev09_chargeevening4,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
9:00pm - 10:00pm",2,Work
